,Suchwert,3,NCG,GPL,TTF,Unnamed: 5
0,Blatt,,NCG,GPL,TTF,
1,"Tradingday
Handelstag",Liefertag,NCG,GPL,TTF,
2,2011-06-02 00:00:00,2011-06-03 00:00:00,22.99,23.3,22.77,
3,2011-06-03 00:00:00,2011-06-04 00:00:00,22.96,21.75,22.75,
4,2011-06-04 00:00:00,2011-06-05 00:00:00,22.97,22.69,22.75,
5,2011-06-05 00:00:00,2011-06-06 00:00:00,22.95,22.88,22.88,
6,2011-06-06 00:00:00,2011-06-07 00:00:00,22.82,22.85,22.73,
7,2011-06-07 00:00:00,2011-06-08 00:00:00,22.93,22.76,22.82,
8,2011-06-08 00:00:00,2011-06-09 00:00:00,22.95,22.81,22.75,
9,2011-06-09 00:00:00,2011-06-10 00:00:00,23.01,22.85,22.71,
10,2011-06-10 00:00:00,2011-06-11 00:00:00,23.1,22.94,22.9,
11,2011-06-11 00:00:00,2011-06-12 00:00:00,22.92,22.93,22.9,
12,2011-06-12 00:00:00,2011-06-13 00:00:00,22.92,22.93,22.9,
13,2011-06-13 00:00:00,2011-06-14 00:00:00,23.34,22.93,22.9,
14,2011-06-14 00:00:00,2011-06-15 00:00:00,23.46,23.41,23.55,
15,2011-06-15 00:00:00,2011-06-16 00:00:00,23.13,23.09,23.1,
16,2011-06-16 00:00:00,2011-06-17 00:00:00,22.89,22.94,22.92,
17,2011-06-17 00:00:00,2011-06-18 00:00:00,22.6,22.73,22.8,
18,2011-06-18 00:00:00,2011-06-19 00:00:00,22.57,22.69,22.8,
19,2011-06-19 00:00:00,2011-06-20 00:00:00,22.5,22.5,22.6,
20,2011-06-20 00:00:00,2011-06-21 00:00:00,22.85,22.72,22.65,
21,2011-06-21 00:00:00,2011-06-22 00:00:00,22.96,22.82,22.75,
22,2011-06-22 00:00:00,2011-06-23 00:00:00,22.62,22.77,22.55,
23,2011-06-23 00:00:00,2011-06-24 00:00:00,22.49,22.48,22.33,
24,2011-06-24 00:00:00,2011-06-25 00:00:00,21.73,21.32,21.84,
25,2011-06-25 00:00:00,2011-06-26 00:00:00,21.73,21.86,21.8,
26,2011-06-26 00:00:00,2011-06-27 00:00:00,21.47,22.75,21.88,
27,2011-06-27 00:00:00,2011-06-28 00:00:00,21.67,21.66,21.65,
28,2011-06-28 00:00:00,2011-06-29 00:00:00,21.97,21.89,21.9,
29,2011-06-29 00:00:00,2011-06-30 00:00:00,22.33,22.29,22.3,
30,2011-06-30 00:00:00,2011-07-01 00:00:00,22.31,22.13,22.51,
31,2011-07-01 00:00:00,2011-07-02 00:00:00,21.73,21.7,20.98,
32,2011-07-02 00:00:00,2011-07-03 00:00:00,21.73,21.57,20.98,
33,2011-07-03 00:00:00,2011-07-04 00:00:00,21.8,21.48,21.35,
34,2011-07-04 00:00:00,2011-07-05 00:00:00,21.59,21.44,21.25,
35,2011-07-05 00:00:00,2011-07-06 00:00:00,21.69,21.57,21.52,
36,2011-07-06 00:00:00,2011-07-07 00:00:00,21.64,21.56,21.38,
37,2011-07-07 00:00:00,2011-07-08 00:00:00,22.17,21.88,21.88,
38,2011-07-08 00:00:00,2011-07-09 00:00:00,21.9,22.12,21.3,
39,2011-07-09 00:00:00,2011-07-10 00:00:00,21.89,21.35,21.3,
40,2011-07-10 00:00:00,2011-07-11 00:00:00,21.89,21.7,21.7,
41,2011-07-11 00:00:00,2011-07-12 00:00:00,21.58,21.42,21.4,
42,2011-07-12 00:00:00,2011-07-13 00:00:00,21.96,21.65,21.81,
43,2011-07-13 00:00:00,2011-07-14 00:00:00,22.14,21.75,21.72,
44,2011-07-14 00:00:00,2011-07-15 00:00:00,21.12,21.77,21.68,
45,2011-07-15 00:00:00,2011-07-16 00:00:00,21.73,21.42,21.48,
46,2011-07-16 00:00:00,2011-07-17 00:00:00,21.73,21.42,21.48,
47,2011-07-17 00:00:00,2011-07-18 00:00:00,21.93,21.98,21.78,
48,2011-07-18 00:00:00,2011-07-19 00:00:00,22.12,21.97,21.83,
49,2011-07-19 00:00:00,2011-07-20 00:00:00,22.07,21.75,21.79,
50,2011-07-20 00:00:00,2011-07-21 00:00:00,21.9,21.73,21.79,
51,2011-07-21 00:00:00,2011-07-22 00:00:00,22.09,21.95,21.81,
52,2011-07-22 00:00:00,2011-07-23 00:00:00,21.66,21.52,20.9,
53,2011-07-23 00:00:00,2011-07-24 00:00:00,21.67,21.51,20.9,
54,2011-07-24 00:00:00,2011-07-25 00:00:00,21.75,21.75,21.65,
55,2011-07-25 00:00:00,2011-07-26 00:00:00,21.94,21.69,21.5,
56,2011-07-26 00:00:00,2011-07-27 00:00:00,22.05,21.59,21.46,
57,2011-07-27 00:00:00,2011-07-28 00:00:00,21.92,21.5,21.33,
58,2011-07-28 00:00:00,2011-07-29 00:00:00,21.73,21.32,21.43,
59,2011-07-29 00:00:00,2011-07-30 00:00:00,21.16,20.83,21.15,
60,2011-07-30 00:00:00,2011-07-31 00:00:00,21.54,20.87,21.15,
61,2011-07-31 00:00:00,2011-08-01 00:00:00,21.68,21.75,21.05,
62,2011-08-01 00:00:00,2011-08-02 00:00:00,20.98,21.05,20.76,
63,2011-08-02 00:00:00,2011-08-03 00:00:00,19.77,20.66,20.55,
64,2011-08-03 00:00:00,2011-08-04 00:00:00,19.32,20.24,19.95,
65,2011-08-04 00:00:00,2011-08-05 00:00:00,20.73,20.68,20.35,
66,2011-08-05 00:00:00,2011-08-06 00:00:00,20.25,20.23,20.1,
67,2011-08-06 00:00:00,2011-08-07 00:00:00,20.25,20.24,20.1,
68,2011-08-07 00:00:00,2011-08-08 00:00:00,20.57,20.73,20.57,
69,2011-08-08 00:00:00,2011-08-09 00:00:00,21.02,20.99,20.46,
70,2011-08-09 00:00:00,2011-08-10 00:00:00,21.41,21.27,20.75,
71,2011-08-10 00:00:00,2011-08-11 00:00:00,21.56,21.6,21.3,
72,2011-08-11 00:00:00,2011-08-12 00:00:00,21.44,21.56,21.45,
73,2011-08-12 00:00:00,2011-08-13 00:00:00,21.1,21.1,20.68,
74,2011-08-13 00:00:00,2011-08-14 00:00:00,21.07,21.08,20.68,
75,2011-08-14 00:00:00,2011-08-15 00:00:00,21.25,21.38,21.2,
76,2011-08-15 00:00:00,2011-08-16 00:00:00,21.66,21.68,21.15,
77,2011-08-16 00:00:00,2011-08-17 00:00:00,21.72,21.67,21.33,
78,2011-08-17 00:00:00,2011-08-18 00:00:00,22.2,22.16,21.95,
79,2011-08-18 00:00:00,2011-08-19 00:00:00,22.19,22.1,22.08,
80,2011-08-19 00:00:00,2011-08-20 00:00:00,21.78,21.82,21.82,
81,2011-08-20 00:00:00,2011-08-21 00:00:00,21.76,21.81,21.82,
82,2011-08-21 00:00:00,2011-08-22 00:00:00,21.5,22.05,21.7,
83,2011-08-22 00:00:00,2011-08-23 00:00:00,22.5,22.5,22.17,
84,2011-08-23 00:00:00,2011-08-24 00:00:00,22.59,22.6,22.33,
85,2011-08-24 00:00:00,2011-08-25 00:00:00,22.89,23.18,23.03,
86,2011-08-25 00:00:00,2011-08-26 00:00:00,23.1,23.15,23.05,
87,2011-08-26 00:00:00,2011-08-27 00:00:00,22.32,22.35,22.55,
88,2011-08-27 00:00:00,2011-08-28 00:00:00,22.31,22.42,22.55,
89,2011-08-28 00:00:00,2011-08-29 00:00:00,23,23.65,23.05,
90,2011-08-29 00:00:00,2011-08-30 00:00:00,24.42,24.61,24.18,
91,2011-08-30 00:00:00,2011-08-31 00:00:00,24.55,24.83,24.22,
92,2011-08-31 00:00:00,2011-09-01 00:00:00,24.88,24.97,24.85,
93,2011-09-01 00:00:00,2011-09-02 00:00:00,24.2,24.38,24.35,
94,2011-09-02 00:00:00,2011-09-03 00:00:00,24.37,24.34,23.2,
95,2011-09-03 00:00:00,2011-09-04 00:00:00,24.18,24.32,23.2,
96,2011-09-04 00:00:00,2011-09-05 00:00:00,19.85,23.9,24,
97,2011-09-05 00:00:00,2011-09-06 00:00:00,23.88,23.7,23.75,
